Key,SourceUIC,TargetUIC
110-485,110,485
110-53014,110,53014
110-53027,110,53027
112-118,112,118
112-119,112,119
112-122,112,122
112-132,112,132
112-133,112,133
112-135,112,135
112-143,112,143
112-145,112,145
112-148,112,148
112-150,112,150
112-151,112,151
112-167,112,167
112-174,112,174
112-176,112,176
112-180,112,180
112-184,112,184
112-191,112,191
112-193,112,193
112-203,112,203
112-220,112,220
112-223,112,223
112-224,112,224
112-225,112,225
112-231,112,231
112-237,112,237
112-245,112,245
112-246,112,246
112-268,112,268
112-276,112,276
112-282,112,282
112-302,112,302
112-322,112,322
112-342,112,342
112-347,112,347
112-364,112,364
112-388,112,388
112-391,112,391
112-398,112,398
112-404,112,404
112-407,112,407
112-411,112,411
112-417,112,417
112-425,112,425
112-426,112,426
112-428,112,428
112-429,112,429
112-430,112,430
112-431,112,431
112-456,112,456
112-473,112,473
112-485,112,485
112-496,112,496
112-515,112,515
112-516,112,516
112-519,112,519
112-524,112,524
112-53025,112,53025
112-53027,112,53027
112-53028,112,53028
112-53029,112,53029
112-53032,112,53032
112-53036,112,53036
112-53039,112,53039
112-53040,112,53040
112-53041,112,53041
112-53044,112,53044
112-53075,112,53075
112-53078,112,53078
112-53079,112,53079
112-53104,112,53104
112-53108,112,53108
112-53179,112,53179
112-53282,112,53282
112-53286,112,53286
112-53287,112,53287
112-53297,112,53297
112-53298,112,53298
112-550,112,550
112-563,112,563
112-669,112,669
112-675,112,675
112-700,112,700
112-710,112,710
112-712,112,712
112-728,112,728
112-772,112,772
112-773,112,773
112-778,112,778
112-800,112,800
112-810,112,810
112-812,112,812
112-814,112,814
112-816,112,816
112-828,112,828
112-842,112,842
112-844,112,844
118-119,118,119
118-122,118,122
118-128,118,128
118-132,118,132
118-133,118,133
118-135,118,135
118-136,118,136
118-143,118,143
118-145,118,145
118-148,118,148
118-151,118,151
118-154,118,154
118-157,118,157
118-167,118,167
118-173,118,173
118-174,118,174
118-176,118,176
118-177,118,177
118-178,118,178
118-180,118,180
118-184,118,184
118-185,118,185
118-186,118,186
118-187,118,187
118-189,118,189
118-191,118,191
118-193,118,193
118-199,118,199
118-201,118,201
118-220,118,220
118-222,118,222
118-223,118,223
118-224,118,224
118-225,118,225
118-227,118,227
118-228,118,228
118-231,118,231
118-237,118,237
118-238,118,238
118-243,118,243
118-245,118,245
118-249,118,249
118-257,118,257
118-258,118,258
118-259,118,259
118-263,118,263
118-268,118,268
118-270,118,270
118-272,118,272
118-276,118,276
118-282,118,282
118-290,118,290
118-291,118,291
118-293,118,293
118-294,118,294
118-296,118,296
118-297,118,297
118-322,118,322
118-330,118,330
118-336,118,336
118-339,118,339
118-344,118,344
118-346,118,346
118-347,118,347
118-367,118,367
118-371,118,371
118-391,118,391
118-402,118,402
118-404,118,404
118-407,118,407
118-410,118,410
118-411,118,411
118-414,118,414
118-417,118,417
118-418,118,418
118-425,118,425
118-431,118,431
118-437,118,437
118-438,118,438
118-445,118,445
118-450,118,450
118-452,118,452
118-456,118,456
118-461,118,461
118-470,118,470
118-471,118,471
118-476,118,476
118-477,118,477
118-485,118,485
118-497,118,497
118-499,118,499
118-501,118,501
118-504,118,504
118-514,118,514
118-515,118,515
118-516,118,516
118-517,118,517
118-518,118,518
118-519,118,519
118-526,118,526
118-53015,118,53015
118-53025,118,53025
118-53027,118,53027
118-53028,118,53028
118-53030,118,53030
118-53032,118,53032
118-53036,118,53036
118-53039,118,53039
118-53040,118,53040
118-53041,118,53041
118-53044,118,53044
118-53049,118,53049
118-53050,118,53050
118-53053,118,53053
118-53054,118,53054
118-53055,118,53055
118-53071,118,53071
118-53075,118,53075
118-53078,118,53078
118-53079,118,53079
118-53104,118,53104
118-53107,118,53107
118-53109,118,53109
118-53110,118,53110
118-53143,118,53143
118-53146,118,53146
118-53150,118,53150
118-53163,118,53163
118-53172,118,53172
118-53179,118,53179
118-53271,118,53271
118-53272,118,53272
118-53276,118,53276
118-53277,118,53277
118-53280,118,53280
118-53284,118,53284
118-53286,118,53286
118-537,118,537
118-550,118,550
118-551,118,551
118-552,118,552
118-553,118,553
118-554,118,554
118-555,118,555
118-556,118,556
118-564,118,564
118-565,118,565
118-566,118,566
118-567,118,567
118-570,118,570
118-574,118,574
118-575,118,575
118-576,118,576
118-578,118,578
118-587,118,587
118-588,118,588
118-589,118,589
118-594,118,594
118-597,118,597
118-598,118,598
118-602,118,602
118-603,118,603
118-605,118,605
118-606,118,606
118-613,118,613
118-619,118,619
118-623,118,623
118-628,118,628
118-633,118,633
118-641,118,641
118-642,118,642
118-653,118,653
118-654,118,654
118-660,118,660
118-669,118,669
118-675,118,675
118-676,118,676
118-677,118,677
118-694,118,694
118-700,118,700
118-702,118,702
118-703,118,703
118-704,118,704
118-705,118,705
118-706,118,706
118-707,118,707
118-712,118,712
118-721,118,721
118-725,118,725
118-728,118,728
118-733,118,733
118-735,118,735
118-736,118,736
118-737,118,737
118-741,118,741
118-742,118,742
118-743,118,743
118-744,118,744
118-758,118,758
118-767,118,767
118-768,118,768
118-778,118,778
118-779,118,779
118-800,118,800
118-809,118,809
118-819,118,819
118-821,118,821
118-822,118,822
118-824,118,824
118-828,118,828
118-831,118,831
118-841,118,841
118-849,118,849
119-143,119,143
119-145,119,145
119-148,119,148
119-150,119,150
119-157,119,157
119-167,119,167
119-180,119,180
119-186,119,186
119-201,119,201
119-220,119,220
119-223,119,223
119-224,119,224
119-225,119,225
119-245,119,245
119-249,119,249
119-257,119,257
119-263,119,263
119-276,119,276
119-288,119,288
119-290,119,290
119-294,119,294
119-296,119,296
119-302,119,302
119-315,119,315
119-330,119,330
119-344,119,344
119-347,119,347
119-364,119,364
119-367,119,367
119-371,119,371
119-398,119,398
119-402,119,402
119-407,119,407
119-411,119,411
119-417,119,417
119-425,119,425
119-431,119,431
119-437,119,437
119-445,119,445
119-450,119,450
119-456,119,456
119-470,119,470
119-496,119,496
119-501,119,501
119-504,119,504
119-515,119,515
119-516,119,516
119-517,119,517
119-518,119,518
119-519,119,519
119-52000,119,52000
119-526,119,526
119-53014,119,53014
119-53027,119,53027
119-53032,119,53032
119-53044,119,53044
119-53104,119,53104
119-53108,119,53108
119-53143,119,53143
119-53146,119,53146
119-53150,119,53150
119-53271,119,53271
119-53276,119,53276
119-53280,119,53280
119-53282,119,53282
119-537,119,537
119-550,119,550
119-551,119,551
119-552,119,552
119-553,119,553
119-554,119,554
119-555,119,555
119-556,119,556
119-563,119,563
119-564,119,564
119-566,119,566
119-587,119,587
119-589,119,589
119-628,119,628
119-669,119,669
119-700,119,700
119-702,119,702
119-703,119,703
119-704,119,704
119-705,119,705
119-706,119,706
119-728,119,728
119-733,119,733
119-735,119,735
119-736,119,736
119-737,119,737
119-741,119,741
119-742,119,742
119-743,119,743
119-744,119,744
119-772,119,772
119-773,119,773
119-778,119,778
119-779,119,779
119-831,119,831
119-833,119,833
122-143,122,143
122-145,122,145
122-148,122,148
122-150,122,150
122-180,122,180
122-220,122,220
122-223,122,223
122-224,122,224
122-225,122,225
122-245,122,245
122-246,122,246
122-276,122,276
122-302,122,302
122-364,122,364
122-391,122,391
122-407,122,407
122-411,122,411
122-414,122,414
122-417,122,417
122-430,122,430
122-431,122,431
122-445,122,445
122-450,122,450
122-456,122,456
122-496,122,496
122-515,122,515
122-516,122,516
122-519,122,519
122-53015,122,53015
122-53021,122,53021
122-53027,122,53027
122-53032,122,53032
122-53036,122,53036
122-53041,122,53041
122-53044,122,53044
122-53054,122,53054
122-53104,122,53104
122-53108,122,53108
122-53143,122,53143
122-53146,122,53146
122-53150,122,53150
122-53282,122,53282
122-53297,122,53297
122-53298,122,53298
122-550,122,550
122-555,122,555
122-563,122,563
122-574,122,574
122-578,122,578
122-579,122,579
122-592,122,592
122-669,122,669
122-700,122,700
122-728,122,728
122-772,122,772
122-773,122,773
122-778,122,778
122-831,122,831
124-364,124,364
124-772,124,772
124-773,124,773
124-831,124,831
125-364,125,364
125-772,125,772
125-773,125,773
125-831,125,831
127-151,127,151
127-570,127,570
128-129,128,129
128-133,128,133
128-143,128,143
128-145,128,145
128-154,128,154
128-177,128,177
128-180,128,180
128-191,128,191
128-199,128,199
128-220,128,220
128-223,128,223
128-224,128,224
128-225,128,225
128-227,128,227
128-243,128,243
128-245,128,245
128-276,128,276
128-336,128,336
128-373,128,373
128-375,128,375
128-391,128,391
128-407,128,407
128-411,128,411
128-417,128,417
128-425,128,425
128-431,128,431
128-456,128,456
128-496,128,496
128-515,128,515
128-516,128,516
128-519,128,519
128-53032,128,53032
128-53044,128,53044
128-53104,128,53104
128-53108,128,53108
128-53219,128,53219
128-53282,128,53282
128-550,128,550
128-563,128,563
128-588,128,588
128-669,128,669
128-700,128,700
128-728,128,728
128-778,128,778
129-130,129,130
129-143,129,143
129-145,129,145
129-191,129,191
129-519,129,519
129-53115,129,53115
129-53117,129,53117
130-132,130,132
130-133,130,133
130-143,130,143
130-145,130,145
130-151,130,151
130-154,130,154
130-157,130,157
130-158,130,158
130-159,130,159
130-160,130,160
130-161,130,161
130-167,130,167
130-174,130,174
130-177,130,177
130-178,130,178
130-180,130,180
130-199,130,199
130-201,130,201
130-206,130,206
130-207,130,207
130-208,130,208
130-220,130,220
130-223,130,223
130-224,130,224
130-225,130,225
130-249,130,249
130-276,130,276
130-407,130,407
130-411,130,411
130-417,130,417
130-431,130,431
130-450,130,450
130-456,130,456
130-478,130,478
130-489,130,489
130-490,130,490
130-515,130,515
130-516,130,516
130-517,130,517
130-518,130,518
130-519,130,519
130-520,130,520
130-526,130,526
130-53032,130,53032
130-53044,130,53044
130-53078,130,53078
130-53079,130,53079
130-53104,130,53104
130-53115,130,53115
130-53117,130,53117
130-53143,130,53143
130-53146,130,53146
130-53150,130,53150
130-53219,130,53219
130-537,130,537
130-550,130,550
130-555,130,555
130-570,130,570
130-653,130,653
130-655,130,655
130-669,130,669
130-700,130,700
130-728,130,728
130-774,130,774
130-778,130,778
132-133,132,133
132-143,132,143
132-145,132,145
132-148,132,148
132-151,132,151
132-153,132,153
132-154,132,154
132-157,132,157
132-158,132,158
132-159,132,159
132-160,132,160
132-161,132,161
132-167,132,167
132-174,132,174
132-177,132,177
132-178,132,178
132-180,132,180
132-184,132,184
132-185,132,185
132-186,132,186
132-187,132,187
132-191,132,191
132-199,132,199
132-201,132,201
132-206,132,206
132-207,132,207
132-208,132,208
132-220,132,220
132-222,132,222
132-223,132,223
132-224,132,224
132-225,132,225
132-226,132,226
132-228,132,228
132-237,132,237
132-249,132,249
132-255,132,255
132-257,132,257
132-258,132,258
132-259,132,259
132-263,132,263
132-268,132,268
132-270,132,270
132-275,132,275
132-276,132,276
132-290,132,290
132-291,132,291
132-293,132,293
132-294,132,294
132-296,132,296
132-297,132,297
132-322,132,322
132-330,132,330
132-336,132,336
132-339,132,339
132-341,132,341
132-364,132,364
132-369,132,369
132-373,132,373
132-374,132,374
132-375,132,375
132-376,132,376
132-377,132,377
132-407,132,407
132-411,132,411
132-414,132,414
132-415,132,415
132-417,132,417
132-431,132,431
132-445,132,445
132-450,132,450
132-452,132,452
132-456,132,456
132-470,132,470
132-471,132,471
132-478,132,478
132-490,132,490
132-496,132,496
132-501,132,501
132-514,132,514
132-515,132,515
132-516,132,516
132-517,132,517
132-518,132,518
132-519,132,519
132-520,132,520
132-526,132,526
132-53015,132,53015
132-53027,132,53027
132-53028,132,53028
132-53032,132,53032
132-53044,132,53044
132-53049,132,53049
132-53053,132,53053
132-53055,132,53055
132-53068,132,53068
132-53078,132,53078
132-53079,132,53079
132-53104,132,53104
132-53106,132,53106
132-53107,132,53107
132-53108,132,53108
132-53109,132,53109
132-53110,132,53110
132-53111,132,53111
132-53114,132,53114
132-53119,132,53119
132-53143,132,53143
132-53146,132,53146
132-53150,132,53150
132-53179,132,53179
132-53200,132,53200
132-53203,132,53203
132-53219,132,53219
132-53271,132,53271
132-53272,132,53272
132-53276,132,53276
132-53277,132,53277
132-53280,132,53280
132-53281,132,53281
132-53282,132,53282
132-53284,132,53284
132-53286,132,53286
132-537,132,537
132-550,132,550
132-551,132,551
132-552,132,552
132-553,132,553
132-554,132,554
132-555,132,555
132-563,132,563
132-564,132,564
132-565,132,565
132-566,132,566
132-567,132,567
132-570,132,570
132-587,132,587
132-628,132,628
132-629,132,629
132-646,132,646
132-669,132,669
132-676,132,676
132-682,132,682
132-694,132,694
132-700,132,700
132-728,132,728
132-758,132,758
132-767,132,767
132-770,132,770
132-772,132,772
132-773,132,773
132-774,132,774
132-778,132,778
132-784,132,784
133-135,133,135
133-136,133,136
133-143,133,143
133-145,133,145
133-148,133,148
133-151,133,151
133-154,133,154
133-157,133,157
133-158,133,158
133-159,133,159
133-160,133,160
133-161,133,161
133-167,133,167
133-174,133,174
133-176,133,176
133-177,133,177
133-178,133,178
133-180,133,180
133-184,133,184
133-185,133,185
133-186,133,186
133-187,133,187
133-189,133,189
133-191,133,191
133-199,133,199
133-201,133,201
133-206,133,206
133-207,133,207
133-208,133,208
133-220,133,220
133-222,133,222
133-223,133,223
133-224,133,224
133-225,133,225
133-237,133,237
133-238,133,238
133-243,133,243
133-249,133,249
133-257,133,257
133-258,133,258
133-263,133,263
133-270,133,270
133-272,133,272
133-276,133,276
133-290,133,290
133-291,133,291
133-293,133,293
133-294,133,294
133-296,133,296
133-297,133,297
133-347,133,347
133-391,133,391
133-407,133,407
133-410,133,410
133-411,133,411
133-412,133,412
133-414,133,414
133-415,133,415
133-417,133,417
133-431,133,431
133-445,133,445
133-450,133,450
133-452,133,452
133-456,133,456
133-461,133,461
133-470,133,470
133-471,133,471
133-478,133,478
133-490,133,490
133-495,133,495
133-496,133,496
133-501,133,501
133-514,133,514
133-515,133,515
133-516,133,516
133-517,133,517
133-518,133,518
133-519,133,519
133-520,133,520
133-526,133,526
133-53015,133,53015
133-53027,133,53027
133-53028,133,53028
133-53032,133,53032
133-53036,133,53036
133-53039,133,53039
133-53040,133,53040
133-53041,133,53041
133-53044,133,53044
133-53049,133,53049
133-53053,133,53053
133-53054,133,53054
133-53055,133,53055
133-53078,133,53078
133-53079,133,53079
133-53104,133,53104
133-53107,133,53107
133-53108,133,53108
133-53143,133,53143
133-53146,133,53146
133-53150,133,53150
133-53179,133,53179
133-53203,133,53203
133-53271,133,53271
133-53272,133,53272
133-53276,133,53276
133-53277,133,53277
133-53281,133,53281
133-53282,133,53282
133-53284,133,53284
133-53286,133,53286
133-537,133,537
133-550,133,550
133-551,133,551
133-552,133,552
133-553,133,553
133-555,133,555
133-563,133,563
133-564,133,564
133-565,133,565
133-566,133,566
133-567,133,567
133-570,133,570
133-615,133,615
133-623,133,623
133-629,133,629
133-641,133,641
133-669,133,669
133-700,133,700
133-728,133,728
133-733,133,733
133-741,133,741
133-758,133,758
133-767,133,767
133-774,133,774
133-778,133,778
135-136,135,136
135-143,135,143
135-145,135,145
135-151,135,151
135-154,135,154
135-157,135,157
135-167,135,167
135-174,135,174
135-176,135,176
135-177,135,177
135-180,135,180
135-184,135,184
135-185,135,185
135-186,135,186
135-187,135,187
135-191,135,191
135-201,135,201
135-215,135,215
135-220,135,220
135-222,135,222
135-223,135,223
135-224,135,224
135-225,135,225
135-237,135,237
135-249,135,249
135-263,135,263
135-270,135,270
135-276,135,276
135-282,135,282
135-290,135,290
135-291,135,291
135-293,135,293
135-294,135,294
135-322,135,322
135-407,135,407
135-411,135,411
135-417,135,417
135-431,135,431
135-438,135,438
135-445,135,445
135-456,135,456
135-470,135,470
135-471,135,471
135-496,135,496
135-501,135,501
135-514,135,514
135-515,135,515
135-516,135,516
135-517,135,517
135-518,135,518
135-519,135,519
135-526,135,526
135-53032,135,53032
135-53044,135,53044
135-53068,135,53068
135-53078,135,53078
135-53079,135,53079
135-53104,135,53104
135-53107,135,53107
135-53108,135,53108
135-53282,135,53282
135-53284,135,53284
135-537,135,537
135-550,135,550
135-551,135,551
135-553,135,553
135-563,135,563
135-564,135,564
135-565,135,565
135-566,135,566
135-567,135,567
135-669,135,669
135-700,135,700
135-728,135,728
135-767,135,767
135-778,135,778
136-143,136,143
136-145,136,145
136-151,136,151
136-154,136,154
136-157,136,157
136-167,136,167
136-174,136,174
136-176,136,176
136-177,136,177
136-180,136,180
136-184,136,184
136-185,136,185
136-186,136,186
136-187,136,187
136-191,136,191
136-201,136,201
136-215,136,215
136-220,136,220
136-222,136,222
136-223,136,223
136-224,136,224
136-225,136,225
136-237,136,237
136-249,136,249
136-263,136,263
136-270,136,270
136-276,136,276
136-282,136,282
136-290,136,290
136-291,136,291
136-293,136,293
136-294,136,294
136-322,136,322
136-407,136,407
136-411,136,411
136-417,136,417
136-431,136,431
136-438,136,438
136-456,136,456
136-470,136,470
136-471,136,471
136-496,136,496
136-501,136,501
136-514,136,514
136-515,136,515
136-516,136,516
136-517,136,517
136-518,136,518
136-519,136,519
136-526,136,526
136-53032,136,53032
136-53044,136,53044
136-53068,136,53068
136-53078,136,53078
136-53079,136,53079
136-53104,136,53104
136-53107,136,53107
136-53108,136,53108
136-53282,136,53282
136-53284,136,53284
136-537,136,537
136-550,136,550
136-551,136,551
136-553,136,553
136-563,136,563
136-564,136,564
136-565,136,565
136-566,136,566
136-567,136,567
136-669,136,669
136-700,136,700
136-728,136,728
136-767,136,767
136-778,136,778
143-145,143,145
143-146,143,146
143-148,143,148
143-150,143,150
143-151,143,151
143-153,143,153
143-154,143,154
143-157,143,157
143-158,143,158
143-159,143,159
143-160,143,160
143-161,143,161
143-167,143,167
143-174,143,174
143-176,143,176
143-177,143,177
143-178,143,178
143-180,143,180
143-184,143,184
143-185,143,185
143-186,143,186
143-187,143,187
143-189,143,189
143-191,143,191
143-193,143,193
143-199,143,199
143-201,143,201
143-203,143,203
143-206,143,206
143-207,143,207
143-208,143,208
143-215,143,215
143-220,143,220
143-222,143,222
143-223,143,223
143-224,143,224
143-225,143,225
143-226,143,226
143-227,143,227
143-228,143,228
143-231,143,231
143-237,143,237
143-238,143,238
143-243,143,243
143-245,143,245
143-249,143,249
143-255,143,255
143-256,143,256
143-257,143,257
143-258,143,258
143-259,143,259
143-260,143,260
143-263,143,263
143-268,143,268
143-270,143,270
143-272,143,272
143-275,143,275
143-276,143,276
143-282,143,282
143-290,143,290
143-291,143,291
143-293,143,293
143-294,143,294
143-296,143,296
143-297,143,297
143-302,143,302
143-321,143,321
143-322,143,322
143-330,143,330
143-336,143,336
143-339,143,339
143-341,143,341
143-342,143,342
143-347,143,347
143-355,143,355
143-364,143,364
143-367,143,367
143-373,143,373
143-374,143,374
143-375,143,375
143-376,143,376
143-387,143,387
143-391,143,391
143-398,143,398
143-404,143,404
143-407,143,407
143-410,143,410
143-411,143,411
143-414,143,414
143-415,143,415
143-417,143,417
143-425,143,425
143-431,143,431
143-445,143,445
143-450,143,450
143-452,143,452
143-456,143,456
143-461,143,461
143-470,143,470
143-471,143,471
143-476,143,476
143-477,143,477
143-478,143,478
143-485,143,485
143-489,143,489
143-490,143,490
143-496,143,496
143-501,143,501
143-514,143,514
143-515,143,515
143-516,143,516
143-517,143,517
143-518,143,518
143-520,143,520
143-524,143,524
143-526,143,526
143-53015,143,53015
143-53021,143,53021
143-53025,143,53025
143-53027,143,53027
143-53028,143,53028
143-53032,143,53032
143-53036,143,53036
143-53039,143,53039
143-53041,143,53041
143-53044,143,53044
143-53049,143,53049
143-53053,143,53053
143-53054,143,53054
143-53055,143,53055
143-53068,143,53068
143-53075,143,53075
143-53078,143,53078
143-53079,143,53079
143-53104,143,53104
143-53106,143,53106
143-53107,143,53107
143-53108,143,53108
143-53109,143,53109
143-53110,143,53110
143-53111,143,53111
143-53114,143,53114
143-53119,143,53119
143-53143,143,53143
143-53146,143,53146
143-53150,143,53150
143-53179,143,53179
143-53200,143,53200
143-53203,143,53203
143-53219,143,53219
143-53271,143,53271
143-53272,143,53272
143-53276,143,53276
143-53277,143,53277
143-53280,143,53280
143-53281,143,53281
143-53282,143,53282
143-53284,143,53284
143-53286,143,53286
143-537,143,537
143-550,143,550
143-551,143,551
143-552,143,552
143-553,143,553
143-554,143,554
143-555,143,555
143-558,143,558
143-563,143,563
143-564,143,564
143-565,143,565
143-566,143,566
143-567,143,567
143-570,143,570
143-574,143,574
143-578,143,578
143-579,143,579
143-587,143,587
143-588,143,588
143-592,143,592
143-623,143,623
143-628,143,628
143-629,143,629
143-646,143,646
143-669,143,669
143-675,143,675
143-676,143,676
143-682,143,682
143-683,143,683
143-694,143,694
143-699,143,699
143-700,143,700
143-721,143,721
143-728,143,728
143-758,143,758
